300	52165.45	44042.39	44301.80
270	47529.38	41669.04	41959.53
240	42581.04	38513.54	38819.70
210	37322.11	34577.41	34883.85
180	31955.34	30066.81	30348.95
150	26595.00	25098.96	25329.48
120	21228.03	20152.48	20333.08
90	15847.56	15110.33	15239.26
60	10465.63	10022.76	10106.33
30	5085.13		4904.61		4944.71
0	-290.00		-228.00		-229.00
-30	-5573.30	-5280.95	-5322.77
-60	-10811.53	-10289.76	-10373.13
-90	-16078.12	-15285.05	-15414.52
-120	-21340.96	-20227.42	-20405.94
-150	-26595.49	-25099.09	-25329.58
-180	-31828.70	-29841.25	-30116.53
-210	-37033.26	-34336.49	-34643.78
-240	-42175.74	-38180.67	-38488.36
-270	-47064.17	-41303.90	-41592.27
-300	-51583.77	-43584.88	-43842.28
